,code1,code2,code3,code4,Shire,Suburb,Aboriginal.and.or.Torres.Strait.Islander,Non.Indigenous,Total.ERP
6,,NA,NA,1028,,Avoca Beach - Copacabana,157,7132,7289
7,,NA,NA,1029,,Box Head - MacMasters Beach,218,10481,10699
8,,NA,NA,1030,,Calga - Kulnura,107,4471,4578
9,,NA,NA,1031,,Erina - Green Point,217,13855,14072
10,,NA,NA,1032,,Gosford - Springfield,517,18231,18748
11,,NA,NA,1033,,Kariong,220,6449,6669
12,,NA,NA,1034,,Kincumber - Picketts Valley,217,7122,7339
13,,NA,NA,1035,,Narara,187,6538,6725
14,,NA,NA,1036,,Niagara Park - Lisarow,186,8113,8299
15,,NA,NA,1037,,Point Clare - Koolewong,100,6413,6513
16,,NA,NA,1038,,Saratoga - Davistown,169,6674,6843
17,,NA,NA,1039,,Terrigal - North Avoca,162,13062,13224
18,,NA,NA,1040,,Umina - Booker Bay - Patonga,868,22442,23310
19,,NA,NA,1041,,Wamberal - Forresters Beach,188,9323,9511
20,,NA,NA,1042,,Woy Woy - Blackwall,546,13123,13669
21,,NA,NA,1043,,Wyoming,307,11223,11530
25,,NA,NA,1044,,Bateau Bay - Killarney Vale,768,21257,22025
26,,NA,NA,1045,,Blue Haven - San Remo,657,10430,11087
27,,NA,NA,1046,,Budgewoi - Buff Point - Halekulani,445,8771,9216
28,,NA,NA,1047,,Chittaway Bay - Tumbi Umbi,514,15336,15850
29,,NA,NA,1048,,Gorokan - Kanwal - Charmhaven,1135,20160,21295
30,,NA,NA,1049,,Jilliby - Yarramalong,87,3051,3138
31,,NA,NA,1050,,Lake Munmorah - Mannering Park,387,10013,10400
32,,NA,NA,1051,,Ourimbah - Fountaindale,131,4828,4959
33,,NA,NA,1052,,Summerland Point - Gwandalan,202,5325,5527
34,,NA,NA,1053,,The Entrance,661,13763,14424
35,,NA,NA,1054,,Toukley - Norah Head,469,8831,9300
36,,NA,NA,1055,,Tuggerah - Kangy Angy,166,5050,5216
37,,NA,NA,1056,,Warnervale - Wadalba,432,12354,12786
38,,NA,NA,1057,,Wyong,515,7901,8416
45,,NA,NA,1290,,Baulkham Hills (East),107,22081,22188
46,,NA,NA,1291,,Baulkham Hills (West) - Bella Vista,71,19417,19488
47,,NA,NA,1292,,Castle Hill,126,28621,28747
48,,NA,NA,1293,,Cherrybrook,45,25486,25531
49,,NA,NA,1294,,Glenhaven,21,6042,6063
50,,NA,NA,1295,,Kellyville,83,24417,24500
51,,NA,NA,1296,,West Pennant Hills,21,13099,13120
55,,NA,NA,1297,,Dural - Kenthurst - Wisemans Ferry,134,20928,21062
56,,NA,NA,1298,,Galston - Laughtondale,23,5280,5303
60,,NA,NA,1299,,Bilpin - Colo - St Albans,81,2635,2716
61,,NA,NA,1300,,Kurrajong Heights - Ebenezer,423,21690,22113
65,,NA,NA,1301,,Pitt Town - McGraths Hill,177,9117,9294
66,,NA,NA,1302,,Rouse Hill - Beaumont Hills,105,18636,18741
73,,NA,NA,1303,,Blacktown (East) - Kings Park,232,16052,16284
74,,NA,NA,1304,,Blacktown (North) - Marayong,575,16880,17455
75,,NA,NA,1305,,Blacktown (South),501,27222,27723
76,,NA,NA,1306,,Doonside - Woodcroft,838,19572,20410
77,,NA,NA,1307,,Lalor Park - Kings Langley,512,24369,24881
78,,NA,NA,1308,,Seven Hills - Toongabbie,364,23143,23507
82,,NA,NA,1309,,Glenwood,104,15822,15926
83,,NA,NA,1310,,Parklea - Kellyville Ridge,317,22714,23031
84,,NA,NA,1311,,Quakers Hill - Acacia Gardens,334,26404,26738
85,,NA,NA,1312,,Riverstone - Marsden Park,459,11206,11665
89,,NA,NA,1313,,Bidwill - Hebersham - Emerton,1990,17267,19257
90,,NA,NA,1314,,Glendenning Dean Park,220,8204,8424
91,,NA,NA,1315,,Hassall Grove - Plumpton,461,19797,20258
92,,NA,NA,1316,,Lethbridge Park - Tregear,1724,14828,16552
93,,NA,NA,1317,,Mount Druitt - Whalan,889,21603,22492
94,,NA,NA,1318,,Prospect Reservoir,0,20,20
95,,NA,NA,1319,,Rooty Hill - Minchinbury,478,19774,20252
102,,NA,NA,1320,,Banksmeadow,np,np,np
103,,NA,NA,1321,,Botany,268,9022,9290
104,,NA,NA,1322,,Mascot - Eastlakes,289,20714,21003
105,,NA,NA,1323,,Pagewood - Hillsdale - Daceyville,211,10971,11182
106,,NA,NA,1324,,Port Botany Industrial,np,np,np
107,,NA,NA,1325,,Sydney Airport,0,15,15
111,,NA,NA,1326,,Marrickville,541,25541,26082
112,,NA,NA,1327,,Petersham - Stanmore,326,19617,19943
113,,NA,NA,1328,,Sydenham - Tempe - St Peters,158,7519,7677
117,,NA,NA,1329,,Darlinghurst,67,10847,10914
118,,NA,NA,1330,,Erskineville - Alexandria,293,14597,14890
119,,NA,NA,1331,,Glebe - Forest Lodge,462,17272,17734
120,,NA,NA,1332,,Newtown - Camperdown - Darlington,356,22553,22909
121,,NA,NA,1333,,Potts Point - Woolloomooloo,278,19334,19612
122,,NA,NA,1334,,Pyrmont - Ultimo,224,20015,20239
123,,NA,NA,1335,,Redfern - Chippendale,501,17398,17899
124,,NA,NA,1336,,Surry Hills,214,16581,16795
125,,NA,NA,1337,,Sydney - Haymarket - The Rocks,102,24919,25021
126,,NA,NA,1338,,Waterloo - Beaconsfield,642,21923,22565
133,,NA,NA,1339,,Bondi - Tamarama - Bronte,108,19444,19552
134,,NA,NA,1340,,Bondi Beach - North Bondi,95,20971,21066
135,,NA,NA,1341,,Bondi Junction - Waverly,101,16865,16966
136,,NA,NA,1342,,Centennial Park,.,.,.
137,,NA,NA,1343,,Double Bay - Bellevue Hill,78,25860,25938
138,,NA,NA,1344,,Dover Heights,36,11078,11114
139,,NA,NA,1345,,Paddington - Moore Park,50,15411,15461
140,,NA,NA,1346,,Rose Bay - Vaucluse - Watsons Bay,29,12551,12580
141,,NA,NA,1347,,Woollahra,14,7661,7675
145,,NA,NA,1348,,Coogee - Clovelly,228,25305,25533
146,,NA,NA,1349,,Kensington - Kingsford,176,28390,28566
147,,NA,NA,1350,,Malabar - La Perouse - Chifley,1356,21103,22459
148,,NA,NA,1351,,Maroubra,451,31152,31603
149,,NA,NA,1352,,Randwick,166,29465,29631
156,,NA,NA,1353,,Bankstown,133,32395,32528
