,Suburb,65_over_Pop
1,Adamstown - Kotara,2498
2,Albion Park - Macquarie Pass,1270
3,Albion Park Rail,939
4,Albury - East,1571
5,Albury - North,1394
6,Albury - South,1673
7,Albury Region,1698
8,Anna Bay,1099
9,Armidale,3035
10,Armidale Region - North,691
11,Armidale Region - South,972
12,Arncliffe - Bardwell Valley,1620
13,Ashcroft - Busby - Miller,1942
14,Ashfield,2635
15,Asquith - Mount Colah,2070
16,Auburn,2646
17,Avalon - Palm Beach,2283
18,Avoca Beach - Copacabana,823
19,Badgerys Creek - Greendale,1238
20,Balgowlah - Clontarf - Seaforth,2496
21,Balgownie - Fairy Meadow,3448
22,Ballina,3839
23,Ballina Region,2883
24,Balmain,1826
25,Bangalow,636
26,Banksmeadow,8
27,Bankstown,2920
28,Bargo,699
29,Bass Hill - Georges Hall,2979
30,Bateau Bay - Killarney Vale,3583
31,Batemans Bay,1873
32,Batemans Bay - South,2232
33,Bathurst,3106
34,Bathurst - East,1220
35,Bathurst Region,1009
36,Baulkham Hills (East),2983
37,Baulkham Hills (West) - Bella Vista,2051
38,Bayview - Elanora Heights,2034
39,Beacon Hill - Narraweena,2059
40,Bega - Tathra,1467
41,Bega-Eden Hinterland,1368
42,Bellingen,832
43,Belmont - Bennetts Green,3022
44,Belmont South - Blacksmiths,1064
45,Belmore - Belfield,2632
46,Beresfield - Hexham,1369
47,Berkeley - Warrawong - Windang,5111
48,Berowra - Brooklyn - Cowan,1368
49,Berry - Kangaroo Valley,2253
50,Bexley,3061
51,Bidwill - Hebersham - Emerton,1928
52,Bilpin - Colo - St Albans,485
53,Blackheath - Megalong Valley,1206
54,Blacktown (East) - Kings Park,1520
55,Blacktown (North) - Marayong,1897
56,Blacktown (South),3123
57,Blaxland - Warrimoo - Lapstone,2439
58,Blayney,1120
59,Blue Haven - San Remo,1294
60,Blue Mountains - North,8
61,Blue Mountains - South,1
62,Bolton Point - Teralba,1475
63,Bombala,431
64,Bondi - Tamarama - Bronte,1817
65,Bondi Beach - North Bondi,1497
66,Bondi Junction - Waverly,2127
67,Bonnells Bay - Silverwater,1592
68,Bonnyrigg Heights - Bonnyrigg,1399
69,Bossley Park - Abbotsbury,2058
70,Botany,1112
71,Bourke - Brewarrina,478
72,Bowral,3415
73,Box Head - MacMasters Beach,2145
74,Bradbury - Wedderburn,2061
75,Braidwood,697
76,Branxton - Greta - Pokolbin,1014
77,Broken Hill,3364
78,Broulee - Tomakin,688
79,Brunswick Heads - Ocean Shores,1207
80,Budgewoi - Buff Point - Halekulani,1907
81,Bulahdelah - Stroud,919
82,Burwood - Croydon,2555
83,Byron Bay,1051
84,Cabramatta - Lansvale,2602
85,Cabramatta West - Mount Pritchard,2005
86,Calga - Kulnura,741
87,Callala Bay - Currarong,815
88,Cambridge Park,1556
89,Camden - Ellis Lane,1850
90,Campbelltown - Woodbine,1905
91,Canley Vale - Canley Heights,2116
92,Canterbury (North) - Ashbury,1360
93,Canterbury (South) - Campsie,3119
94,Caringbah - Lilli Pilli,3865
95,Carlingford,3797
96,Casino,2189
97,Casino Region,1098
98,Castle Hill,3770
99,Castlereagh - Cranebrook,1364
100,Casula,1466
101,Centennial Park,0
102,Cessnock,3001
103,Cessnock Region,957
104,Charlestown - Dudley,3755
105,Chatswood (East) - Artarmon,2588
106,Chatswood (West) - Lane Cove North,1999
107,Cherrybrook,3229
108,Chester Hill - Sefton,1986
109,Chipping Norton - Moorebank,2112
110,Chittaway Bay - Tumbi Umbi,2068
111,Chullora,1
112,Claymore - Eagle Vale - Raby,1362
113,Cobar,551
114,Cobbitty - Leppington,1103
115,Coffs Harbour - North,2827
116,Coffs Harbour - South,1851
117,Concord - Mortlake - Cabarita,3137
118,Concord West - North Strathfield,1455
119,Condell Park,1268
120,Condobolin,1187
121,Coogee - Clovelly,2549
122,Cooma,1162
123,Cooma Region,639
124,Coonabarabran,1677
125,Coonamble,693
126,Cootamundra,1672
127,Coramba - Nana Glen - Bucca,461
128,Corowa,1261
129,Corowa Region,1545
130,Corrimal - Tarrawanna - Bellambi,2339
131,Cowra,1795
132,Cowra Region,1076
133,Cremorne - Cammeray,2369
134,Cromer,1189
135,Cronulla - Kurnell - Bundeena,4078
136,Crows Nest - Waverton,1824
137,Croydon Park - Enfield,2339
138,Culburra Beach,1254
139,Dapto - Avondale,4057
140,Darlinghurst,760
141,Dee Why - North Curl Curl,2380
142,Deniliquin,1347
143,Deniliquin Region,1272
144,Deua - Wadbilliga,9
145,Doonside - Woodcroft,1701
146,Dorrigo,603
147,Double Bay - Bellevue Hill,3998
148,Douglas Park - Appin,854
149,Dover Heights,1347
150,Drummoyne - Rodd Point,2666
151,Dubbo - East,1158
152,Dubbo - South,2288
153,Dubbo - West,1012
154,Dubbo Region,766
155,Dulwich Hill - Lewisham,1774
156,Dungog,1501
157,Dural - Kenthurst - Wisemans Ferry,3053
158,Eastwood - Denistone,2980
159,Eden,683
160,Edensor Park,917
161,Edgeworth - Cameron Park,1402
162,Elderslie - Harrington Park,1536
163,Emu Plains - Leonay,2001
164,Engadine - Loftus,3634
165,Epping - North Epping,3089
166,Erina - Green Point,3121
167,Ermington - Rydalmere,2308
168,Erskine Park,312
169,Erskineville - Alexandria,685
170,Ettrema - Sassafras - Budawang,3
171,Eurobodalla Hinterland,602
172,Evans Head,1070
173,Fairfield,1884
174,Fairfield - East,1822
175,Fairfield - West,2258
176,Far West,351
177,Figtree - Keiraville,3142
178,Five Dock - Abbotsford,2947
179,Forbes,1824
180,Forestville - Killarney Heights,2168
181,Forster,4138
182,Forster-Tuncurry Region,1292
183,Frenchs Forest - Belrose,4204
184,Freshwater - Brookvale,1770
185,Galston - Laughtondale,793
186,Gilgandra,877
187,Girraween - Westmead,2852
188,Gladesville - Huntleys Point,1977
189,Glebe - Forest Lodge,1552
190,Glen Innes,1791
191,Glendale - Cardiff - Hillsborough,3176
192,Glendenning Dean Park,447
193,Glenhaven,1038
194,Glenmore Park - Regentville,1233
195,Glenwood,892
196,Gloucester,1191
197,Goonellabah,2005
198,Gordon - Killara,2810
199,Gorokan - Kanwal - Charmhaven,3814
200,Gosford - Springfield,2703
201,Goulburn,3518
202,Goulburn Region,2311
203,Grafton,3357
204,Grafton Region,2583
205,Granville - Clyde,1678
206,Green Valley - Cecil Hills,2014
207,Greenacre - Mount Lewis,2774
208,Greenfield Park - Prairiewood,1060
209,Grenfell,825
210,Greystanes - Pemulwuy,3470
211,Griffith (NSW),2422
212,Griffith Region,1564
213,Guildford - South Granville,1956
214,Guildford West - Merrylands West,2124
215,Gundagai,642
216,Gunnedah,1541
217,Gunnedah Region,689
218,Gymea - Grays Point,2440
219,Haberfield - Summer Hill,1683
220,Hamilton - Broadmeadow,1654
221,Hassall Grove - Plumpton,1043
222,Hay,547
223,Heathcote - Waterfall,930
224,Helensburgh,869
225,Hill Top - Colo Vale,677
226,Holsworthy - Wattle Grove,1281
227,Holsworthy Military Area,0
228,Homebush,853
229,Homebush Bay - Silverwater,633
230,Hornsby - Waitara,3317
231,Horsley - Kembla Grange,744
232,Horsley Park - Kemps Creek,691
233,Hoxton Park - Horningsea Park,1012
234,Hunters Hill - Woolwich,1500
235,Hurstville,2308
236,Huskisson - Vincentia,1061
237,Illawarra Catchment Reserve,1
238,Illawong - Alfords Point,1091
239,Ingleburn - Denham Court,1831
240,Inverell,2091
241,Inverell Region - East,919
242,Inverell Region - West,1241
243,Jamisontown - South Penrith,2133
244,Jilliby - Yarramalong,461
245,Jindabyne - Berridale,820
246,Junee,813
247,Karabar,901
248,Kariong,541
249,Katoomba - Leura,2418
250,Kellyville,2010
251,Kempsey,2317
252,Kempsey Region,1603
253,Kensington - Kingsford,2776
254,Kiama,1653
255,Kiama Downs - Minnamurra,852
256,Kiama Hinterland - Gerringong,1354
257,Kincumber - Picketts Valley,1383
258,Kingscliff - Fingal Head,2162
259,Kingsgrove (North) - Earlwood,4035
260,Kingsgrove (South) - Bardwell Park,2043
261,Kingswood - Werrington,1535
262,Kogarah,1150
263,Kogarah Bay - Carlton - Allawah,1886
264,Korora - Emerald Beach,1126
265,Kurrajong Heights - Ebenezer,2362
266,Kurri Kurri - Abermain,2205
267,Kyogle,1286
268,Lake Munmorah - Mannering Park,2659
269,Lakemba - Wiley Park,2005
270,Lalor Park - Kings Langley,2725
271,Lambton - New Lambton,2265
272,Lane Cove - Greenwich,3315
273,Laurieton - Bonny Hills,4272
274,Lavington,2242
275,Lawson - Hazelbrook - Linden,1338
276,Leeton,1474
277,Leichhardt - Annandale,2371
278,Lemon Tree Passage - Tanilba Bay,1452
279,Lennox Head - Skennars Head,961
280,Lethbridge Park - Tregear,1858
281,Leumeah - Minto Heights,2000
282,Lidcombe - Regents Park,2925
283,Lilyfield - Rozelle,1292
284,Lindfield - Roseville,2851
285,Lismore,1998
286,Lismore Region,1928
287,Lithgow,2209
288,Lithgow Region,1311
289,Liverpool - Warwick Farm,3368
290,Lord Howe Island,58
291,Macksville - Scotts Head,1079
292,Maclean - Yamba - Iluka,4145
293,Macquarie Fields - Glenfield,2254
294,Macquarie Park - Marsfield,2082
295,Maitland,681
296,Maitland - East,3526
297,Maitland - North,948
298,Maitland - West,2101
299,Malabar - La Perouse - Chifley,3397
300,Manly - Fairlight,2598
301,Manly Vale - Allambie Heights,2018
302,Maroubra,4153
303,Marrickville,3133
304,Maryland - Fletcher - Minmi,976
305,Mascot - Eastlakes,2704
306,Mayfield - Warabrook,1911
307,Menai - Lucas Heights - Woronora,1886
308,Merewether - The Junction,1770
309,Merimbula - Tura Beach,2625
310,Merrylands - Holroyd,2801
311,Minto - St Andrews,1398
312,Miranda - Yowie Bay,2821
313,Mittagong,1651
314,Moama,1312
315,Monterey - Brighton-le-Sands - Kyeemagh,2261
316,Moree,1132
317,Moree Region,590
318,Morisset - Cooranbong,2967
319,Mortdale - Penshurst,2607
320,Moruya - Tuross Head,1931
321,Mosman,4262
322,Moss Vale - Berrima,1720
323,Mount Annan - Currans Hill,1452
324,Mount Druitt - Whalan,2040
325,Mount Hutton - Windale,1288
326,Mudgee,1630
327,Mudgee Region - East,759
328,Mudgee Region - West,1864
329,Mulgoa - Luddenham - Orchard Hills,907
330,Mullumbimby,964
331,Murwillumbah,1436
332,Murwillumbah Region,1368
333,Muswellbrook,1141
334,Muswellbrook Region,509
335,Nambucca Heads,1834
336,Nambucca Heads Region,1370
337,Narara,752
338,Narooma - Bermagui,2431
339,Narrabeen - Collaroy,3276
340,Narrabri,1028
341,Narrabri Region,729
342,Narrandera,1034
343,Narromine,1137
344,Narwee - Beverly Hills,1994
345,Nelson Bay Peninsula,5333
346,Neutral Bay - Kirribilli,2348
347,Newcastle - Cooks Hill,1213
348,Newcastle Port - Kooragang,3
349,Newport - Bilgola,1902
350,Newtown - Camperdown - Darlington,1174
351,Niagara Park - Lisarow,840
352,Normanhurst - Thornleigh - Westleigh,2591
353,North Nowra - Bomaderry,2687
354,North Parramatta,1699
355,North Rocks,1277
356,North Ryde - East Ryde,1895
357,North Sydney - Lavender Bay,1248
358,Northmead,1632
359,Nowra,2687
360,Nyngan - Warren,892
361,Oatlands - Dundas Valley,2124
362,Oatley - Hurstville Grove,1747
363,Oberon,807
364,Old Bar - Manning Point - Red Head,2200
365,Orange,3100
366,Orange - North,1754
367,Orange Region,1736
368,Ourimbah - Fountaindale,517
369,Oyster Bay - Como - Jannali,2744
370,Paddington - Moore Park,1701
371,Padstow,2316
372,Pagewood - Hillsdale - Daceyville,1554
373,Panania - Milperra - Picnic Point,3470
374,Parkes (NSW),1688
375,Parkes Region,582
376,Parklea - Kellyville Ridge,1123
377,Parramatta - Rosehill,1300
378,Peakhurst - Lugarno,3124
379,Pennant Hills - Cheltenham,2964
380,Penrith,1712
381,Petersham - Stanmore,1805
382,Picton - Tahmoor - Buxton,1892
383,Pitt Town - McGraths Hill,1092
384,Point Clare - Koolewong,1280
385,Port Botany Industrial,0
386,Port Kembla Industrial,4
387,Port Macquarie - East,5766
388,Port Macquarie - West,3963
389,Port Macquarie Region,899
390,Potts Point - Woolloomooloo,2026
391,Pottsville,1939
392,Prestons - Lurnea,2241
393,Prospect Reservoir,3
394,Punchbowl,2089
395,Pymble,2029
396,Pyrmont - Ultimo,1177
397,Quakers Hill - Acacia Gardens,1544
398,Queanbeyan,1282
399,Queanbeyan - East,519
400,Queanbeyan Region,1502
401,Queanbeyan West - Jerrabomberra,746
402,Quirindi,1443
403,Randwick,2805
404,Raymond Terrace,1803
405,Redfern - Chippendale,1720
406,Redhead,691
407,Revesby,1967
408,Richmond - Clarendon,1928
409,Riverstone - Marsden Park,1468
410,Riverwood,1545
411,Robertson - Fitzroy Falls,686
412,Rockdale - Banksia,1941
413,Rookwood Cemetery,1
414,Rooty Hill - Minchinbury,1808
415,Rose Bay - Vaucluse - Watsons Bay,1824
416,Roselands,1870
417,Rosemeadow - Glen Alpine,1731
418,Rouse Hill - Beaumont Hills,1363
419,Royal National Park,2
420,Ryde - Putney,3564
421,Sans Souci - Ramsgate,2828
422,Saratoga - Davistown,1182
423,Sawtell - Boambee,3231
424,Scone,840
425,Scone Region,1269
426,Seaham - Woodville,601
427,Seven Hills - Toongabbie,2698
428,Shellharbour - Flinders,1632
429,Shellharbour - Oak Flats,1461
430,Shortland - Jesmond,1251
431,Singleton,1502
432,Singleton Region,573
433,Smithfield - Wetherill Park,2581
434,Smithfield Industrial,6
435,South Hurstville - Blakehurst,2913
436,South West Rocks,1400
437,Southern Highlands,1519
438,Springwood - Winmalee,2917
439,St Clair,1300
440,St Georges Basin - Erowal Bay,3063
441,St Ives,3457
442,St Johns Park - Wakeley,1432
443,St Leonards - Naremburn,761
444,St Marys - Colyton,3153
445,Stockton - Fullerton Cove,1320
446,Strathfield,3074
447,Summerland Point - Gwandalan,1119
448,Surry Hills,1114
449,Sussex Inlet - Berrara,1410
450,Sutherland - Kirrawee,2683
451,Swansea - Caves Beach,2338
452,Sydenham - Tempe - St Peters,671
453,Sydney - Haymarket - The Rocks,1520
454,Sydney Airport,2
455,Sylvania - Taren Point,3352
456,Tamworth - East,3123
457,Tamworth - North,2231
458,Tamworth - West,544
459,Tamworth Region,3118
460,Taree,4177
461,Taree Region,2679
462,Tea Gardens - Hawks Nest,1754
463,Temora,1343
464,Tenterfield,1486
465,Terrey Hills - Duffys Forest,597
466,Terrigal - North Avoca,2186
467,The Entrance,2899
468,The Oaks - Oakdale,937
469,Thirroul - Austinmer - Coalcliff,1334
470,Thornton - Millers Forest,761
471,Tocumwal - Finley - Jerilderie,2153
472,Tomerong - Wandandian - Woollamia,577
473,Toongabbie - Constitution Hill,3149
474,Toronto - Awaba,2765
475,Toukley - Norah Head,2067
476,Tuggerah - Kangy Angy,708
477,Tumbarumba,612
478,Tumut,999
479,Tumut Region,894
480,Tuncurry,2023
481,Turramurra,3267
482,Tweed Heads,4287
483,Tweed Heads - South,6568
484,Ulladulla,3705
485,Ulladulla Region,1135
486,Umina - Booker Bay - Patonga,4745
487,Unanderra - Mount Kembla,1946
488,Urunga,992
489,Valentine - Eleebana,2027
490,Wagga Wagga - East,2255
491,Wagga Wagga - North,366
492,Wagga Wagga - South,2363
493,Wagga Wagga - West,1494
494,Wagga Wagga Region,1946
495,Wahroonga - Warrawee,2749
496,Walcha,664
497,Walgett - Lightning Ridge,1141
498,Wallsend - Elermore Vale,3186
499,Wamberal - Forresters Beach,1256
500,Wangi Wangi - Rathmines,1799
501,Waratah - North Lambton,1527
502,Warilla,3773
503,Warners Bay - Boolaroo,2311
504,Warnervale - Wadalba,1691
505,Warragamba - Silverdale,457
506,Warriewood - Mona Vale,3309
507,Waterloo - Beaconsfield,2161
508,Wauchope,1955
509,Wellington,1594
510,Wentworth - Buronga,985
511,Wentworth Falls,1322
512,Wentworth-Balranald Region,575
513,West Pennant Hills,1571
514,West Ryde - Meadowbank,1718
515,West Wallsend - Barnsley - Killingworth,521
516,West Wyalong,1015
517,Wetherill Park Industrial,2
518,Wickham - Carrington - Tighes Hill,828
519,Williamtown - Medowie - Karuah,1757
520,Willoughby - Castle Cove - Northbridge,3413
521,Windsor - Bligh Park,1341
522,Wingham,1054
523,Winston Hills,1688
524,Wollangambe - Wollemi,0
525,Wollongong,3837
526,Woolgoolga - Arrawarra,2017
527,Woollahra,1246
528,Woonona - Bulli - Russell Vale,2639
529,Woy Woy - Blackwall,2964
530,Wyoming,1765
531,Wyong,1269
532,Yagoona - Birrong,2276
533,Yarramundi - Londonderry,624
534,Yass,994
535,Yass Region,1380
536,Yennora Industrial,2
537,Young,1768
538,Young Region,1437
