ABN	Latitude	Longitude	Aged_Care_Activities	Aged_Persons	Aboriginal_or_TSI	People_at_risk_of_homelessness	Charity_Name
11000047950	-33.89014878699959	151.10774153500063		Y	Y		Sydney Missionary & Bible College
11000073870	-33.87930709699958	151.10608599200054				Y	Integricare
11001233790	-32.92266243299963	151.74425280400055		Y		Y	"The Greek Orthodox Church & Community Of The ""Holy Apostles"" City Of Newcastle & District Limited"
11001241005	-33.3081114889996	149.09748515600063					Wangarang Industries Limited
11001794396	-33.3081114889996	149.09748515600063					Bethel Christian School Limited
11001832828	-33.6971520769996	151.0387769960006					Pacific Hills Christian Education Limited
11002389746	-30.50758981599961	151.65578941700062			Y		St Peters Pre-School Ltd
11002595422	-30.444374409999625	152.66922327400061					Chrysalis School For Rudolf Steiner Education Ltd 
11003362481	-33.429183618999616	151.31331572500062					Lasercraft Australia Ltd
11005353218	-33.678666221999606	150.28681801000062					Buddha Sasana Association Of Australia Incorporated
11008484197	-33.86468197899961	151.20828013800065					Australian Institute Of Company Directors
11010856725	-33.85012701399961	150.95920465500058		Y			Sydney Sri Ayyappa Swami Centre Incorporated
11019967071	-28.833909868999626	153.32957938600055					2Lm Childrens Christmas Appeal 
11021947936	-33.90845719999959	151.0229461100006		Y			Yagoona Baptist Church
11031563484	-33.8657998259996	151.21010919800062					The Trustee For The Balmain Parish St Johns - Acpt (1023)
11032433089	-33.88483708399963	151.1056956610006	Y	Y			Russian Ethnic Community Council Of NSW Inc
11036390091	-30.305562761999624	153.12087100100064					The Bunker Cartoon Gallery Inc
11038579170	-33.76569180499962	151.1061101420006	Y	Y		Y	Medi Aid Centre Foundation Ltd
11044356392	-32.18430995999961	152.49040990900062	Y	Y	Y		Great Lakes Meals On Wheels 
11056475105	-35.951162102999604	146.29629575500064					St Andrews Lutheran Church Corowa
11064494169	-36.08144377999963	146.91813408000064					The Trustee For Community Foundation For Albury Wodonga Region
11066289464	-28.72182175499961	153.36186342100063					The Corndale Hall Inc.
11069533482	-33.8657998259996	151.21010919800062		Y	Y		Anglican Deaconess Ministries Limited
11071850028	-33.81350944099961	151.16883965100055					St Andrews Anglican Church Lane Cove
11078672755	-33.87158560699959	151.26612849700064			Y		The Parents & Friends Association Of Kincoppal Rose Bay
11079447763	-32.48627247799959	151.9554130520006					Hunter Valley Brumby Association
11079815697	-33.86896722499961	151.20878558900063	Y				Little Company Of Mary Health Care Limited
11081630729	-32.76478372599962	151.74595912000063		Y			Uca - Grahamstown Congregations
11082241761	-33.922163749999584	151.08948883500057		Y			Church Of Christ Belmore
11083730778	-28.80963421499962	153.27723656400065					St Vincent's Foundation Pty Limited
11101785219	-33.837816300999634	151.20913215000064			Y		The Australian Childrens Music Foundation Limited
11105002453	-28.312607473999606	153.32800836100057		Y	Y		Christ Is All Ltd
11106906423	-33.732622780999634	151.10140660400054					Seventh-Day Adventist Schools (Victoria) Limited
11107436811	-33.967060816999606	151.07710224300058					Christ Church Mortdale
11109853278	-34.05713429999963	150.67425290500057		Y			Carrington Centennial Care Limited
11112455786	42.36301909675501	-73.27606838115008					Chinese Students Association Incorporated
11114688541	-33.8657998259996	151.21010919800062					Australian Business And Community Network Limited
11116159701	-34.01632779599959	151.06648936000056		Y			Uniting Church Australia - Jannali
